rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor,RGIId,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,CenLon,CenLat,northness,eastness
RGI60-11.00912,2000-01-01_2020-01-01,293000.0,-0.7709,0.2318,11,False,RGI60-11.00912,0.293,3061,3369,3193,19.2,245,1066,11.0323,46.8067,-0.42261826174069916,-0.9063077870366502
RGI60-11.00913,2000-01-01_2020-01-01,55000.0,-0.8505,0.5884,11,False,RGI60-11.00913,0.055,2526,2724,2650,31.7,343,301,8.79661,46.8243,0.9563047559630353,-0.29237170472273716
RGI60-11.00914,2000-01-01_2020-01-01,39000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00914,0.039,2189,2415,2260,31.0,50,340,8.55115,46.823,0.6427876096865394,0.766044443118978
RGI60-11.00915,2000-01-01_2020-01-01,23000.0,-0.5037,0.5023,11,False,RGI60-11.00915,0.023,2663,2723,2686,17.5,112,180,8.98278,46.823,-0.37460659341591207,0.9271838545667874
RGI60-11.00916,2000-01-01_2020-01-01,15000.0,-0.4333,0.5838,11,False,RGI60-11.00916,0.015,2879,2968,2932,22.8,121,177,8.88551,46.8224,-0.5150380749100543,0.8571673007021123
RGI60-11.00917,2000-01-01_2020-01-01,561000.0,-0.5831,0.1807,11,False,RGI60-11.00917,0.561,2937,3360,3156,16.4,260,1543,11.0339,46.8022,-0.17364817766693033,-0.984807753012208
RGI60-11.00918,2000-01-01_2020-01-01,2016000.0,-1.07,0.2285,11,False,RGI60-11.00918,2.016,2311,3356,2782,21.6,55,3158,8.97739,46.8133,0.573576436351046,0.8191520442889918
RGI60-11.00919,2000-01-01_2020-01-01,674000.0,-0.7531,0.1931,11,False,RGI60-11.00919,0.674,2912,3290,3087,19.1,315,1176,10.8472,46.8027,0.7071067811865474,-0.7071067811865477
RGI60-11.00920,2000-01-01_2020-01-01,27000.0,-0.3548,0.6074,11,False,RGI60-11.00920,0.027,2519,2630,2561,29.6,335,225,8.91431,46.8211,0.90630778703665,-0.4226182617406992
RGI60-11.00921,2000-01-01_2020-01-01,16000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00921,0.016,2818,2948,2903,51.7,58,106,8.92716,46.8199,0.5299192642332049,0.8480480961564261
