country,glacier_name,glacier_id,outline_id,year,time_system,begin_date,begin_date_unc,midseason_date,midseason_date_unc,end_date,end_date_unc,winter_balance,winter_balance_unc,summer_balance,summer_balance_unc,annual_balance,annual_balance_unc,ela_position,ela,ela_unc,aar,area,investigators,agencies,references,remarks,id,rgi60_ids
FR,SARENNE,357,,2022,floating,2021-10-01,0.0,2022-04-14,0.0,2022-09-22,0.0,1.64,0.2,-5.9,0.1,-4.26,0.15,above,,,,,Emmanuel Thibert (229) | Mylène Bonnefoy-Demongeot (229),"229. National Research Institute for Agriculture, Food and the Environment",,,357,RGI60-11.03756
FR,TRE LA TETE,1314,,2022,floating,2021-09-28,0.0,2022-05-12,0.0,2022-09-30,0.0,1.48,,-4.6,,-3.12,,,3350.0,,0.35,6800000.0,Luc Moreau (243),243. Glaciolab,,[flag] ela: Reported as > 3350 m,1314,RGI60-11.03651
IT,CALDERONE,1107,,2022,floating,2021-09-12,0.0,2022-06-14,0.0,2022-09-14,0.0,,,,,-0.308,0.022,,,,,48981.0,"Massimo Pecci (358, 307) | David Michele Cappelletti (355, 317) | Giulio Esposito (311) | Federica Bruschi (355) | Pinuccio D'Aquila (345) | Tiziano Caira (307) | Mattia Pecci (307) | Paolo Tuccella (316) | Edoardo Raparelli (316)",358. Presidenza del Consiglio dei Ministri > Dipartimento per gli affari regionali e le autonomie | 307. Italian Glaciological Committee | 355. University of Perugia | 317. Italian Alpine Club | 311. Ministry of Universities and Research > National Research Council > Institute of Atmospheric Pollution Research | 345. Engeoneering | 316. University of L'Aquila > Center of Excellence in Telesensing of Environment and Model Prediction of Severe Events,,"Delay of the first survey due to effects of lockdown for Covid-19. Areas were almost completely covered by snow at the beginning. Seasonal snow was conserved in 1 limited area at the end of summer | First survey at the beginning of the ablation season has been performed with delay, due to lock down for Covid-19, in strong melting condition with no summer balance measures | ANNUAL_BALANCE, ANNUAL_BALANCE_UNC: Calculated from CHANGE.THICKNESS_CHG for both glacierets assuming a density of 850 ± 60 kg/m3",1107,RGI60-11.03241
IT,CAMPO SETT.,1106,,2022,floating,2021-09-14,0.0,2022-05-09,0.0,2022-10-02,0.0,,,,,-3.13,,above,3145.0,10.0,0.0,225000.0,Riccardo Scotti (343) | Davide Colombarolli (343) | Ivan Peri (343),343. Servizio Glaciologico Lombardo,,,1106,RGI60-11.01930
IT,CIARDONEY,1264,,2022,floating,2021-09-13,0.0,2022-06-01,0.0,2022-09-20,0.0,0.39,0.05,-4.39,0.05,-4.0,0.05,above,3120.0,10.0,0.0,515972.0,Daniele Cat Berro (342) | Luca Mercalli (342),342. Società Meteorologica Italiana,,,1264,RGI60-11.03135
IT,GRAND ETRET,1238,,2022,floating,2021-09-17,0.0,2022-05-26,0.0,2022-09-16,0.0,0.606,,-4.268,,-3.662,,above,3200.0,,0.0,286865.0,"Alberto Rossotto (328, 307) | Stefano Cerise (328, 307) | Demis Massoni (328, 307) | Alberto Peracino (328, 307)",328. Gran Paradiso National Park | 307. Italian Glaciological Committee,https://www.pngp.it/sites/default/files/documenti/campagne%20glaciologiche/BILANCIO%202021-2022_corretto.pdf,,1238,RGI60-11.03166
IT,LUNGA (VEDRETTA) / LANGENF.,661,,2022,fixed,2021-10-01,0.0,,,2022-09-30,0.0,0.622,0.06,-4.029,,-3.408,0.12,above,,,0.0,1435098.0,Stephan Peter Galos (335),335. Autonomous Province of Bolzano/Bozen - South Tyrol > Civil Protection Agency > Office for Hydrology and Dams,"Galos, S. P. (2023). The Mass Balance of Langenferner / Vedretta Lunga 2022. Zenodo. https://doi.org/10.5281/zenodo.8344372",,661,RGI60-11.01776
IT,LUPO,1138,,2022,floating,2021-10-01,0.0,2022-05-06,0.0,2022-09-19,0.0,0.875,,-4.875,,-4.0,,above,2760.0,10.0,0.0,181000.0,Riccardo Scotti (343) | Marco Shackleton Masserini (343) | Roberto Porta (343) | Matteo Oreggioni (343),343. Servizio Glaciologico Lombardo,,,1138,RGI60-11.02648
IT,MALAVALLE (VEDR. DI) / UEBELTALF.,672,,2022,floating,2021-09-28,0.0,2022-05-14,0.0,2022-10-08,0.0,0.719,0.05,-3.893,0.03,-3.174,0.04,above,,,0.0,5921000.0,Gianluigi Franchi (334),334. Autonomous Province of Bolzano/Bozen - South Tyrol > Civil Protection Agency > Hydrographisches Amt,,,672,RGI60-11.00597
IT,PENDENTE (VEDR.) / HANGENDERF.,675,,2022,floating,2021-09-28,0.0,2022-05-14,0.0,2022-10-08,0.0,0.858,0.05,-4.351,0.03,-3.493,0.04,above,,,0.0,772000.0,Gianluigi Franchi (334),334. Autonomous Province of Bolzano/Bozen - South Tyrol > Civil Protection Agency > Hydrographisches Amt,,,675,RGI60-11.00603
IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,645,,2022,floating,2021-09-24,0.0,2022-05-11,0.0,2022-10-06,0.0,0.68,,-3.167,,-2.487,,,3525.0,25.0,0.0,1452000.0,Roberto Dinale (333),333. Autonomous Province of Bolzano/Bozen - South Tyrol > Civil Protection Agency,,Calculated from submitted values,645,RGI60-11.00647
IT,SURETTA MERIDIONALE,2488,,2022,floating,2021-09-30,0.0,2022-05-06,0.0,2022-10-02,0.0,1.148,,-4.712,,-3.564,,above,2926.0,10.0,0.0,125000.0,Riccardo Scotti (343) | Paolo Gallo (343) | Fabio Villa (343) | Giovanni Prandi (343),343. Servizio Glaciologico Lombardo,,,2488,RGI60-11.01662
