rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor,RGIId,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,CenLon,CenLat,northness,eastness,t_jja,p_annual,srad_jja,z_era5,t_jja_corr,apdd,apdd_2022,apdd_anom_2022
RGI60-11.01327,2000-01-01_2020-01-01,17000.0,0.2011,0.4978,11,False,RGI60-11.01327,0.017,2902,2992,2952,27.3,357,158,8.07749,46.6098,0.9986295347545738,-0.0523359562429443,8.8559265,1821.775388717652,20269116.0,2247.0383,4.273675659179688,546.0393089946191,783.750594493248,237.71128549862885
RGI60-11.01328,2000-01-01_2020-01-01,23825000.0,-1.5895,0.2009,11,False,RGI60-11.01328,23.825,1944,3929,2653,16.7,84,12635,8.2193,46.5642,0.1045284632676534,0.9945218953682732,8.086038,1923.3878135681152,20174686.0,2369.8513,6.245571205139161,797.5236739275015,1070.1297534186078,272.60607949110636
RGI60-11.01329,2000-01-01_2020-01-01,16000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01329,0.016,2943,2981,2971,17.3,189,127,8.24668,46.6109,-0.9876883405951378,-0.1564344650402307,8.086038,1923.3878135681152,20174686.0,2369.8513,4.178571205139161,533.7511623214258,759.0655385390039,225.31437621757811
RGI60-11.01330,2000-01-01_2020-01-01,32000.0,0.1581,0.644,11,False,RGI60-11.01330,0.032,2594,2804,2644,38.5,44,266,9.70523,46.611,0.7193398003386512,0.6946583704589973,9.143978,1465.4419898986816,20158362.0,2277.653,6.7627231140136725,880.6361186315035,1150.7218302453591,270.08571161385566
RGI60-11.01331,2000-01-01_2020-01-01,28000.0,-0.7618,0.5345,11,False,RGI60-11.01331,0.028,2864,2936,2905,21.5,296,214,8.24258,46.6097,0.4383711467890774,-0.898794046299167,8.086038,1923.3878135681152,20174686.0,2369.8513,4.607571205139161,583.4994659488991,819.0652581713366,235.5657922224375
RGI60-11.01332,2000-01-01_2020-01-01,17000.0,0.0346,0.3694,11,False,RGI60-11.01332,0.017,2564,2632,2594,22.3,315,202,8.77184,46.6107,0.7071067811865474,-0.7071067811865477,10.148403,1864.083766937256,19527884.0,2075.6611,6.779200531005859,868.1425158607005,1139.011460535381,270.8689446746805
RGI60-11.01333,2000-01-01_2020-01-01,51000.0,-0.6436,0.4258,11,False,RGI60-11.01333,0.051,2857,2968,2929,21.0,247,364,8.87798,46.61,-0.3907311284892738,-0.9205048534524404,11.145276,1808.1435203552248,19509462.0,1933.0765,4.671773567199708,587.6488614128596,807.6272741337897,219.97841272093012
RGI60-11.01334,2000-01-01_2020-01-01,29000.0,-0.3122,0.5201,11,False,RGI60-11.01334,0.029,2872,3082,2983,41.6,339,255,8.09297,46.6061,0.9335804264972016,-0.3583679495453007,8.8559265,1821.775388717652,20269116.0,2247.0383,4.072175659179687,523.2418147459144,755.9600116822983,232.71819693638383
RGI60-11.01335,2000-01-01_2020-01-01,1949000.0,-1.2547,0.2329,11,False,RGI60-11.01335,1.949,2335,3007,2546,22.4,47,2321,8.2518,46.5998,0.6819983600624985,0.7313537016191705,8.086038,1923.3878135681152,20174686.0,2369.8513,6.94107120513916,899.9222851664787,1186.9561703259362,287.03388515945755
RGI60-11.01336,2000-01-01_2020-01-01,664000.0,-0.557,0.2144,11,False,RGI60-11.01336,0.664,2776,3113,2952,25.5,93,668,8.36579,46.5992,-0.0523359562429438,0.9986295347545738,8.086038,1923.3878135681152,20174686.0,2369.8513,4.3020712051391605,547.8043984258554,776.0880153549513,228.28361692909584
RGI60-11.01337,2000-01-01_2020-01-01,44000.0,-0.1098,0.3822,11,False,RGI60-11.01337,0.044,3230,3392,3327,29.2,223,313,8.41415,46.6073,-0.7313537016191706,-0.6819983600624984,9.1139,1913.577222824097,19746142.0,2223.5479,1.9414612197875984,313.02726003321993,479.3286564081976,166.30139637497768
RGI60-11.01338,2000-01-01_2020-01-01,1006000.0,-1.0492,0.2667,11,False,RGI60-11.01338,1.006,2658,3270,2895,23.8,154,1652,8.42188,46.601,-0.898794046299167,0.4383711467890773,9.1139,1913.577222824097,19746142.0,2223.5479,4.749461219787598,595.4842135472132,827.7220720363091,232.23785848909586
RGI60-11.01339,2000-01-01_2020-01-01,130000.0,-0.6469,0.3226,11,False,RGI60-11.01339,0.13,3015,3259,3131,28.2,234,457,8.40896,46.6069,-0.5877852522924732,-0.8090169943749473,9.1139,1913.577222824097,19746142.0,2223.5479,3.2154612197875982,427.51541813749134,624.2395668386822,196.72414870119087
RGI60-11.01340,2000-01-01_2020-01-01,131000.0,-0.7503,0.4004,11,False,RGI60-11.01340,0.131,2571,2811,2682,32.8,307,383,8.35922,46.6057,0.6018150231520479,-0.798635510047293,8.086038,1923.3878135681152,20174686.0,2369.8513,6.05707120513916,770.952563265513,1039.5009193410062,268.5483560754932
RGI60-11.01341,2000-01-01_2020-01-01,206000.0,-0.5817,0.2477,11,False,RGI60-11.01341,0.206,2894,3307,3064,31.0,185,576,8.15127,46.6025,-0.9961946980917455,-0.0871557427476579,8.086038,1923.3878135681152,20174686.0,2369.8513,3.5740712051391608,468.08851683837065,678.6931062479879,210.60458940961723
RGI60-11.01342,2000-01-01_2020-01-01,32000.0,-0.535,0.7593,11,False,RGI60-11.01342,0.032,2990,3212,3113,44.1,49,215,9.70768,46.6044,0.6560590289905073,0.754709580222772,9.143978,1465.4419898986816,20158362.0,2277.653,3.714223114013672,484.8228912210453,684.5256341186422,199.70274289759686
RGI60-11.01343,2000-01-01_2020-01-01,85000.0,-0.8432,0.6043,11,False,RGI60-11.01343,0.085,2621,2816,2708,38.5,343,261,8.2302,46.6038,0.9563047559630352,-0.2923717047227371,8.086038,1923.3878135681152,20174686.0,2369.8513,5.888071205139161,747.5590394486148,1012.4192569843408,264.86021753572595
RGI60-11.01344,2000-01-01_2020-01-01,92000.0,-0.0901,0.3308,11,False,RGI60-11.01344,0.092,2654,2909,2803,26.5,343,475,8.61212,46.6049,0.9563047559630352,-0.2923717047227371,9.1139,1913.577222824097,19746142.0,2223.5479,5.347461219787598,669.931341738502,915.3493816259561,245.41803988745403
RGI60-11.01345,2000-01-01_2020-01-01,23000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01345,0.023,2602,2648,2618,14.3,33,237,8.44021,46.6054,0.838670567945424,0.5446390350150271,9.1139,1913.577222824097,19746142.0,2223.5479,6.549961219787598,834.8070381308098,1105.0400541785302,270.2330160477204
RGI60-11.01346,2000-01-01_2020-01-01,18842000.0,-0.9949,0.1496,11,False,RGI60-11.01346,18.842,1269,4057,2812,24.5,19,9285,8.06736,46.5676,0.9455185755993168,0.3255681544571567,8.8559265,1821.775388717652,20269116.0,2247.0383,5.183675659179688,656.2289040718441,915.9043393843144,259.6754353124703
RGI60-11.01347,2000-01-01_2020-01-01,11000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01347,0.011,2702,2774,2739,23.7,124,158,8.43565,46.6052,-0.5591929034707467,0.8290375725550417,9.1139,1913.577222824097,19746142.0,2223.5479,5.763461219787597,724.6811676206484,978.9640325830479,254.28286496239957
RGI60-11.01348,2000-01-01_2020-01-01,77000.0,-1.1109,0.5861,11,False,RGI60-11.01348,0.077,2781,2918,2851,16.6,258,551,8.40189,46.6036,-0.2079116908177598,-0.9781476007338056,9.1139,1913.577222824097,19746142.0,2223.5479,5.035461219787598,630.4623420814959,869.0629976068371,238.60065552534127
RGI60-11.01349,2000-01-01_2020-01-01,32000.0,-0.602,0.5194,11,False,RGI60-11.01349,0.032,2775,2915,2868,28.0,99,226,8.77219,46.6054,-0.1564344650402308,0.9876883405951378,10.148403,1864.083766937256,19527884.0,2075.6611,4.99820053100586,625.0458915179909,860.2251473824654,235.1792558644745
RGI60-11.01350,2000-01-01_2020-01-01,48000.0,0.0585,0.3277,11,False,RGI60-11.01350,0.048,2581,2711,2638,21.8,13,316,9.84184,46.6016,0.9743700647852352,0.224951054343865,9.143978,1465.4419898986816,20158362.0,2277.653,6.801723114013672,886.5552092114889,1157.4248500509154,270.86964083942655
RGI60-11.01351,2000-01-01_2020-01-01,11000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01351,0.011,3015,3137,3080,39.9,17,261,8.11415,46.602,0.9563047559630354,0.2923717047227367,8.8559265,1821.775388717652,20269116.0,2247.0383,3.441675659179688,455.6511153604628,672.5103832314815,216.8592678710187
RGI60-11.01352,2000-01-01_2020-01-01,28000.0,-0.4038,0.446,11,False,RGI60-11.01352,0.028,2675,2778,2727,38.1,178,146,8.08845,46.6011,-0.9993908270190958,0.0348994967025011,8.8559265,1821.775388717652,20269116.0,2247.0383,5.736175659179688,728.9062943702937,1001.3555220450596,272.4492276747659
RGI60-11.01353,2000-01-01_2020-01-01,72000.0,-0.5977,0.3542,11,False,RGI60-11.01353,0.072,2922,3174,3041,32.7,199,401,8.15885,46.6004,-0.9455185755993168,-0.3255681544571567,8.086038,1923.3878135681152,20174686.0,2369.8513,3.723571205139161,483.8453206869408,698.1120188492295,214.26669816228866
RGI60-11.01354,2000-01-01_2020-01-01,95000.0,-0.8466,0.4502,11,False,RGI60-11.01354,0.095,2729,2966,2812,30.6,33,386,9.71438,46.6011,0.838670567945424,0.5446390350150271,9.143978,1465.4419898986816,20158362.0,2277.653,5.670723114013672,723.5932442723285,970.3151734537739,246.72192918144538
RGI60-11.01355,2000-01-01_2020-01-01,121000.0,-0.6264,0.3661,11,False,RGI60-11.01355,0.121,2619,2994,2814,32.8,238,568,8.09636,46.5979,-0.529919264233205,-0.848048096156426,8.8559265,1821.775388717652,20269116.0,2247.0383,5.170675659179688,654.5713693009051,913.9406935418159,259.3693242409108
RGI60-11.01356,2000-01-01_2020-01-01,16000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01356,0.016,3136,3395,3251,40.5,11,355,8.11042,46.6003,0.981627183447664,0.1908089953765448,8.8559265,1821.775388717652,20269116.0,2247.0383,2.3301756591796874,350.2136406801373,538.5417682232562,188.3281275431189
RGI60-11.01357,2000-01-01_2020-01-01,257000.0,-0.2796,0.209,11,False,RGI60-11.01357,0.257,2616,2880,2696,20.6,313,803,9.02687,46.6032,0.6819983600624986,-0.7313537016191703,11.145276,1808.1435203552248,19509462.0,1933.0765,6.186273567199708,785.8357367036733,1036.361936804598,250.5262001009246
RGI60-11.01358,2000-01-01_2020-01-01,1509000.0,-0.7689,0.1675,11,False,RGI60-11.01358,1.509,2462,3204,2866,22.2,359,1855,8.21162,46.5934,0.9998476951563912,-0.0174524064372835,8.086038,1923.3878135681152,20174686.0,2369.8513,4.86107120513916,614.1267122666242,855.6599890593882,241.533276792764
RGI60-11.01359,2000-01-01_2020-01-01,32000.0,-0.6919,0.6633,11,False,RGI60-11.01359,0.032,2714,2850,2788,24.2,14,320,8.4393,46.6023,0.9702957262759964,0.2419218955996677,9.1139,1913.577222824097,19746142.0,2223.5479,5.444961219787597,682.5456530601977,930.0654433489749,247.51979028877724
RGI60-11.01360,2000-01-01_2020-01-01,208000.0,0.0968,0.2574,11,False,RGI60-11.01360,0.208,3120,3705,3362,41.1,3,230,8.12218,46.5972,0.9986295347545738,0.0523359562429438,8.8559265,1821.775388717652,20269116.0,2247.0383,1.6086756591796876,290.9835648831846,460.6672676541026,169.683702770918
RGI60-11.01361,2000-01-01_2020-01-01,35000.0,0.2749,0.343,11,False,RGI60-11.01361,0.035,2609,2685,2642,16.9,332,215,9.82419,46.6007,0.882947592858927,-0.4694715627858908,9.143978,1465.4419898986816,20158362.0,2277.653,6.775723114013672,882.606784611673,1152.9542203994802,270.34743578780717
RGI60-11.01362,2000-01-01_2020-01-01,1437000.0,-0.9486,0.214,11,False,RGI60-11.01362,1.437,2383,3138,2843,21.7,348,2290,8.22907,46.5914,0.9781476007338056,-0.2079116908177598,8.086038,1923.3878135681152,20174686.0,2369.8513,5.01057120513916,632.6175424184339,877.6349732053857,245.01743078695176
RGI60-11.01363,2000-01-01_2020-01-01,201000.0,-0.2747,0.2412,11,False,RGI60-11.01363,0.201,2756,3063,2941,27.3,266,608,8.35817,46.6003,-0.0697564737441255,-0.9975640502598242,8.086038,1923.3878135681152,20174686.0,2369.8513,4.373571205139161,556.0395891883887,786.035807785408,229.99621859701926
RGI60-11.01364,2000-01-01_2020-01-01,11000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.01364,0.011,2594,2634,2610,19.0,351,112,8.76455,46.6031,0.9876883405951375,-0.1564344650402311,10.148403,1864.083766937256,19527884.0,2075.6611,6.67520053100586,852.7296571857194,1121.6871455051428,268.9574883194234
RGI60-11.01365,2000-01-01_2020-01-01,122000.0,-0.5413,0.3265,11,False,RGI60-11.01365,0.122,2746,2872,2816,19.5,97,350,8.77131,46.6007,-0.1218693434051473,0.992546151641322,10.148403,1864.083766937256,19527884.0,2075.6611,5.33620053100586,667.7632297287759,910.1476801116977,242.38445038292184
